1616,65,D,DCFD 01 Disp,01 Dispatch,Fire Dispatch,Fire/EMS,1
1632,66,D,DCFD 02 Main,02 Main,Fire-Tac,Fire/EMS,1
1648,67,D,DCFD 03,03 Fireground 3,Fire-Tac,Fire/EMS,1
1680,69,D,DCFD 05,05 Fireground 5,Fire-Tac,Fire/EMS,1
1696,06a,D,DCFD 06,06 Fireground 1A,Fire-Tac,Fire/EMS,1
1712,06b,D,DCFD 07,07 Fireground 7,Fire-Tac,Fire/EMS,1
1744,6,D,DCFD 09,09 Fireground 9,Fire-Tac,Fire/EMS,1
1760,6,D,DCFD 010,010 Fireground 2A,Fire-Tac,Fire/EMS,1
1776,06f,D,DCFD 0A3,0A3 Fireground A3,Fire-Tac,Fire/EMS,1
1808,71,D,DCFD 0A5,0A5 Fireground A5,Fire-Tac,Fire/EMS,1
1824,72,D,DCFD 0A6,0A6 Fireground 3A,Fire-Tac,Fire/EMS,1
1840,73,D,DCFD 0A7,0A7 Fireground A7,Fire-Tac,Fire/EMS,1
1872,75,D,DCFD 0A9,0A9 Fireground A9,Fire-Tac,Fire/EMS,1
1888,76,D,DCFD 0A10,0A10 Fireground 4A,Fire-Tac,Fire/EMS,1
1904,77,D,DCFD 011 EM1,011 EMS 1,EMS-Tac,Fire/EMS,2
1920,78,D,DCFD 012 EM2,012 EMS 2,EMS-Tac,Fire/EMS,2
1936,79,D,DCFD 013 EM3,013 EMS 3,EMS-Talk,Fire/EMS,2
1952,07a,D,DCFD NCR,National Capital Region (sometimes encrypted),Interop,Fire/EMS,1
1968,07b,D,DCFD 0B10,0B10 Fireground 6A,Fire-Tac,Fire/EMS,1
2000,7,D,DCFD 0C4 App,0C4 Apparatus Division,Fire-Talk,Fire/EMS,1
2016,7,D,DCFD 0B3,0B3 Rescue Assignments,Fire-Tac,Fire/EMS,1
2048,80,D,DCFD 0C11 Tr,0C11 Training Administration,Fire-Tac,Fire/EMS,3
2064,81,D,DCFD 0C6 Inv,0C6 Investigations,Fire-Tac,Fire/EMS,2
2080,82,D,DCFD 0C5 Ins,0C5 Inspectors,Fire-Tac,Fire/EMS,2
2096,83,D,DCFD 0A11 SE,0A11 Special Event 1,Fire-Tac,Fire/EMS,1
2112,84,D,DCFD 0A12 SE,0A12 Special Event 2,Fire-Tac,Fire/EMS,1
2128,85,D,DCFD 0A13 SE,0A13 Special Event 3,Fire-Tac,Fire/EMS,1
2144,86,D,DCFD 0C3 Log,0C3 Logistics,Fire-Tac,Fire/EMS,3
2160,87,D,DCFD 0B12,0B12 Patch 1,Fire-Tac,Fire/EMS,1
2176,88,D,DCFD 0B13,0B13 Patch 2,Fire-Tac,Fire/EMS,1
2192,89,D,DCFD 0B14,0B14 Stage B,Fire-Tac,Fire/EMS,1
2224,08b,D,DCFD 0B9,0B9 Fireground,Fire-Tac,Fire/EMS,1
2240,08c,D,DCFD 0C8 SpO,0C8 Special Operations,Fire-Tac,Fire/EMS,1
2272,8,D,DCFD 0H1 UMC,0H1 United Medical Center,Hospital,Fire/EMS,2
2288,08f,D,DCFD 0H2 Chd,0H2 Children's,Hospital,Fire/EMS,2
2304,90,D,DCFD 0H3,0H3 Spare,Hospital,Fire/EMS,2
2320,91,D,DCFD 0H4 MST,0H4 MedSTAR,Hospital,Fire/EMS,2
2336,92,D,DCFD 0H5 How,0H5 Howard University,Hospital,Fire/EMS,2
2352,93,D,DCFD 0H6 DCG,0H6 DC General,Hospital,Fire/EMS,2
2368,94,D,DCFD 0H7 GU,0H7 Georgetown University,Hospital,Fire/EMS,2
2384,95,D,DCFD 0H8 GWU,0H8 George Washington University,Hospital,Fire/EMS,2
2400,96,D,DCFD 0H9,0H9 Children's at United Medical Center,Hospital,Fire/EMS,2
2416,97,D,DCFD 0H10 Pr,0H10 Providence,Hospital,Fire/EMS,2
2432,98,D,DCFD 0H11 PC,0H11 Poison Control,Hospital,Fire/EMS,2
2448,99,D,DCFD 0H12 Si,0H12 Sibley,Hospital,Fire/EMS,2
2464,09a,D,DCFD 0H13 WH,0H13 Washington Hospital Center,Hospital,Fire/EMS,2
2480,09b,D,DCFD 0H14 WR,0H14 Walter Reed,Hospital,Fire/EMS,2
2496,09c,D,DCFD 0H15 Vt,0H15 Veterans,Hospital,Fire/EMS,2
2512,9,D,DCFD 0H16 PG,0H16 Prince George's,Hospital,Fire/EMS,2
2592,0a2,D,DCFD 0C7 MPD,0C7 MPD-DCFD Interoperability,Interop,Fire/EMS,1
2608,0a3,D,DCFD 0C15,0C15 Admin 2,Fire-Talk,Fire/EMS,2
